TEAM,RK,CONF,RECORD,ADJOE,ADJDE,BARTHAG,WAB,ADJT,EFG_O,EFG_D,FTR,FTRD,ORB,DRB,TOR,TORD,3P_O,3P_D,2P_O,2P_D
Connecticut,1,BE,37-3,127.96555621022074,91.27109570944104,0.9798887624383481,11.237101359702013,64.64591569800653,56.89999999999999,44.4,31.9,31.1,36.7,26.700000000000003,14.499999999999998,16.0,35.8,31.2,59.1,43.2
Houston,2,B12,32-5,119.6421505946339,86.4804203623381,0.9766322318708202,9.953073337350181,63.43883674141691,50.3,44.0,30.8,39.4,36.8,31.2,13.8,24.4,34.8,30.1,49.2,43.1
Purdue,3,B10,34-5,126.01964010305903,94.4613177531906,0.9649345706291206,10.6251218121472,67.1071590089436,55.8,47.5,41.3,22.0,37.7,24.3,16.400000000000002,13.7,40.4,31.5,53.3,47.7
Auburn,4,SEC,27-8,121.0110306494791,93.07229375542927,0.9534166730919976,5.211273980236317,69.97215943017838,54.2,43.7,38.3,41.5,32.9,30.2,15.1,18.1,35.2,30.2,55.1,42.9
Iowa St.,5,B12,29-8,113.61171376551712,87.66897824717114,0.9517089397610746,6.274174002979452,67.35058311670159,52.0,47.4,35.4,34.8,31.1,29.4,15.4,25.3,35.8,31.5,51.2,47.4
Arizona,6,P12,27-9,120.50796085031624,93.26607455472285,0.9501207025467385,4.852626856740572,72.3104550034627,54.50000000000001,48.4,36.4,25.9,35.6,23.3,16.0,18.0,36.6,32.9,54.4,47.7
Tennessee,7,SEC,27-9,115.91256199989652,90.44242747806703,0.9454947030364632,5.601465982478101,69.1943405187836,51.1,45.3,33.7,35.699999999999996,32.2,28.199999999999996,14.499999999999998,18.5,34.4,31.2,50.8,44.3
Duke,8,ACC,27-9,121.26508516490077,95.47300060421287,0.9399166034266804,3.5182139423989613,66.49878248610447,54.6,48.6,34.300000000000004,28.1,32.0,25.9,14.4,16.900000000000002,37.7,31.8,53.5,49.0
North Carolina,9,ACC,29-8,119.19096656451055,94.27372662989436,0.9368512205477193,6.988173861459513,70.4932432200289,51.5,46.7,36.2,28.199999999999996,33.0,23.7,14.099999999999998,14.8,35.9,32.0,50.2,46.0
Creighton,10,BE,25-10,121.67812966584222,97.05670960254923,0.9308592686965402,4.3946062351602695,66.72952802519823,57.3,46.3,24.7,16.0,26.1,24.9,15.4,11.0,36.8,32.3,59.2,45.5
Marquette,11,BE,27-10,118.6292463716108,94.87339843079079,0.9288915970027047,6.551552883577029,69.0772262901374,55.00000000000001,49.8,25.5,26.9,25.7,30.8,14.3,21.1,35.2,33.7,56.6,49.3
Gonzaga,12,WCC,27-8,123.55076132174965,99.0676964710311,0.9268825472628318,2.3891079645859223,68.82575563758506,56.99999999999999,47.3,30.7,25.2,33.2,27.700000000000003,14.000000000000002,16.1,36.2,34.1,58.3,45.1
Illinois,13,B10,29-9,125.70179521397165,101.07120505289721,0.9247008877212283,5.556203749777929,69.70001891925206,53.6,48.0,37.1,26.700000000000003,35.6,26.3,15.0,12.3,34.9,34.1,54.4,46.8
Alabama,14,SEC,25-12,126.06481108567047,102.48482938036989,0.9154006858977867,3.3064072921415457,72.34665916079025,56.3,49.7,35.3,38.8,34.9,30.9,15.9,15.2,37.3,31.7,56.7,50.9
Saint Mary's,15,WCC,26-8,115.34944831945307,94.08274299409803,0.9124244122580558,1.4232855477745407,62.45665766713147,52.8,45.1,28.000000000000004,33.4,38.7,22.3,16.0,16.7,35.3,32.3,52.7,43.8
St. John's,16,BE,20-13,120.09168984482089,98.54632724568782,0.9066906354214351,0.47090424630369737,69.33628223057752,50.9,49.5,27.3,34.4,38.6,30.3,15.7,18.5,34.1,35.0,50.8,47.9
Baylor,17,B12,24-11,122.55171289020018,100.95822692703078,0.9028238261961842,4.472002255601566,65.84302018788307,55.7,51.4,40.2,31.2,35.0,26.9,17.7,17.0,39.5,33.4,53.5,52.1
Michigan St.,18,B10,20-15,113.32857028532095,93.48397053141119,0.9014788338723426,-0.1905655859761637,65.36190945702477,51.6,48.0,29.299999999999997,32.4,29.799999999999997,28.499999999999996,15.0,18.5,36.2,32.6,50.5,47.4
Texas,19,B12,21-13,116.62225812450205,96.5263679753402,0.8979750823448804,0.660316422988845,67.36116247143681,53.0,48.1,30.2,34.0,29.9,30.1,16.900000000000002,18.8,35.4,33.5,53.1,47.0
Clemson,20,ACC,24-12,117.65492234298543,97.40063443549914,0.8977634282073309,1.0401844577447132,66.28035420680041,53.900000000000006,48.2,30.7,32.1,27.200000000000003,26.6,14.8,13.900000000000002,35.1,33.1,54.6,47.1
Kansas,21,B12,23-11,113.74546002434317,94.22103899081867,0.8971245724011099,3.771395524246808,69.00739493580396,53.5,48.3,32.5,28.499999999999996,25.7,26.5,16.5,16.5,33.6,34.6,54.7,45.8
Florida,22,SEC,24-12,120.54652075567994,100.18170996936874,0.8936022389545543,2.7714146110701936,71.80798700609603,51.8,49.3,38.4,34.8,37.3,28.799999999999997,15.7,14.499999999999998,34.5,32.6,51.8,49.5
Colorado,23,P12,26-11,118.3019597362198,98.62141501788963,0.89016689092368,1.67672738967399,67.6924509516983,55.400000000000006,49.7,35.099999999999994,27.3,32.0,24.7,18.1,15.2,39.1,32.1,54.0,50.6
BYU,24,B12,23-11,119.83586271882194,99.94261450378505,0.8896880406521813,2.3056021035322014,69.08243960331933,54.8,48.2,25.4,32.0,32.800000000000004,24.6,15.3,16.0,34.8,32.0,57.5,48.3
Wisconsin,25,B10,22-14,118.82422470359302,99.139011274332,0.889230616600553,2.9003279250468537,65.24703551375762,52.2,52.0,33.800000000000004,33.800000000000004,30.2,24.5,14.9,16.900000000000002,34.9,36.9,52.2,50.2
Nebraska,26,B10,23-11,115.98361417628526,96.85674714769252,0.8881997150363132,1.950103597212981,68.9557575449277,53.1,46.7,32.6,27.700000000000003,27.6,30.3,15.8,16.2,35.7,32.5,52.8,45.2
Kentucky,27,SEC,23-10,122.72764314393217,102.65829052567518,0.886296734029275,2.788661495316401,72.51184068640677,57.2,49.6,30.4,33.5,28.9,30.3,14.2,15.9,40.9,33.2,54.7,49.4
San Diego St.,28,MWC,26-11,111.96936539928889,94.1426984569789,0.880192729753433,2.171981643903003,66.16862646914544,49.9,47.3,36.7,33.1,32.7,28.7,16.2,18.1,31.5,31.0,51.5,47.8
New Mexico,29,MWC,26-10,113.89777159524951,95.98224888820477,0.8774055375794985,1.484534182442311,72.8399610524179,50.5,48.1,33.2,33.4,33.5,27.0,14.000000000000002,19.3,32.7,30.7,51.1,49.2
Pittsburgh,30,ACC,22-11,116.72503475017673,98.84585999636354,0.8712417381725734,0.6116226079549896,65.92538571894671,51.6,49.0,30.5,30.5,31.0,23.799999999999997,13.4,16.6,35.7,30.8,50.0,50.8
Villanova,31,BE,18-16,110.43926261293201,93.79654915443433,0.8674252736531334,-1.1509840698752065,63.65671607741744,50.6,48.3,26.8,26.0,24.9,24.3,14.7,16.2,33.8,32.8,50.5,47.6
Texas Tech,32,B12,23-11,116.8871982398248,99.31459608502288,0.8668677259465286,2.7811223477405367,66.54098059642851,52.6,49.2,34.2,27.200000000000003,30.2,30.3,16.5,17.0,35.9,32.2,51.6,49.8
Texas A&M,33,SEC,21-15,117.70431193612524,100.02500544712761,0.8666534206471199,-0.058298361257052345,66.12206401624454,45.7,50.5,38.6,31.9,42.2,27.9,14.099999999999998,16.7,29.3,33.8,46.8,50.3
Mississippi St.,34,SEC,21-14,112.26156183704387,95.50554708982541,0.8651736638968434,0.5891841767808124,67.14833429781815,51.4,48.0,37.4,31.8,35.4,27.9,18.9,18.4,32.2,29.8,53.4,50.3
Wake Forest,35,ACC,21-14,116.99526514733228,99.73942307371934,0.8623661639176516,-1.04707667320923,68.27639801019151,54.2,49.1,32.0,30.1,26.4,25.8,15.4,16.400000000000002,36.4,33.1,54.0,48.9
Nevada,36,MWC,26-8,115.01286580353035,98.09926034580754,0.8616709231790182,2.4564421540288026,66.8629794690027,53.2,48.4,45.0,34.2,27.3,26.9,15.2,17.4,36.4,31.6,52.5,49.1
Northwestern,37,B10,22-12,115.66075750220492,98.82715253592085,0.8592196399758717,1.1090132974855336,64.03210177961611,52.6,51.5,29.2,39.3,25.8,27.800000000000004,13.4,18.8,39.0,34.5,49.2,51.4
Seton Hall,38,BE,25-12,113.12569605815443,96.89594229330966,0.8558094416786816,0.8938071681763178,66.57089432528994,50.4,49.2,30.9,25.6,35.199999999999996,29.1,18.4,17.9,33.6,33.0,50.4,49.0
Washington St.,39,P12,25-10,112.84476053288458,96.71768499732215,0.8548915507169432,1.8320101537186657,64.83667136216093,51.8,47.2,31.6,32.300000000000004,32.9,25.0,16.400000000000002,15.7,33.9,32.5,52.2,46.5
Utah,40,P12,22-15,114.17238255259034,97.87052385210083,0.8546734467595215,-1.2358301962081706,69.90131960212005,54.400000000000006,48.8,27.1,26.0,27.500000000000004,25.8,16.1,14.099999999999998,36.9,33.6,53.6,48.0
Ohio St.,41,B10,22-14,115.03675974724307,98.68484924548656,0.8536079104843652,-0.601081357086825,66.19518963208598,50.9,48.7,33.6,29.9,31.4,28.499999999999996,15.5,15.9,34.4,34.6,50.5,47.0
Indiana St.,42,MVC,32-7,119.60917726102241,102.69677067616678,0.8523512219772854,1.8624222838570077,70.72575526686217,59.8,49.9,33.1,25.9,23.6,23.3,16.2,15.5,38.1,34.7,62.4,48.8
Colorado St.,43,MWC,25-11,112.78841797647222,96.84670529640977,0.8522576847257084,1.1035670766629764,66.0491927338462,54.2,48.5,31.8,31.7,24.6,26.9,15.4,16.6,33.0,33.0,57.0,48.0
Boise St.,44,MWC,22-11,113.67431850022294,97.77949904699935,0.8496884435948197,0.6571749316053898,66.48292699649855,51.0,49.8,35.099999999999994,33.1,32.9,23.1,16.400000000000002,16.900000000000002,34.2,30.5,50.8,52.1
Cincinnati,45,B12,22-15,111.30207281506088,95.74837234347905,0.8495439815863953,-1.376582474196927,67.38582738605011,50.3,47.7,27.6,29.1,36.2,25.3,17.299999999999997,17.299999999999997,33.0,33.6,50.8,46.3
TCU,46,B12,21-13,113.99320861449871,98.15870241819282,0.8481111704425874,0.850507385991176,70.00369652641847,51.5,50.7,35.0,35.4,35.9,28.4,18.0,20.6,35.4,33.0,50.8,51.3
Dayton,47,A10,25-8,116.73965436806907,100.60146147751672,0.8469613009768913,2.3210097709331676,64.18668769839971,56.2,48.3,36.7,21.9,26.4,28.6,16.0,15.9,39.9,32.0,53.4,48.5
North Carolina St.,48,ACC,26-15,114.22984067643104,99.1079950288902,0.836584047042093,-0.42435535652241496,67.73412566101771,50.7,49.5,32.0,31.5,28.199999999999996,29.1,13.8,17.5,34.4,33.6,50.2,49.0
Oklahoma,49,B12,20-12,113.08768289052065,98.4107318203709,0.8318305328559088,0.5922827773587441,67.22541413900757,53.1,47.4,37.7,31.1,30.1,26.200000000000003,18.1,16.5,34.5,29.9,53.9,48.9
South Carolina,50,SEC,26-8,114.98026803514458,100.11409618192738,0.8309219451391452,4.726936072910387,63.22270179888983,50.9,48.4,31.8,31.6,32.800000000000004,27.9,15.5,14.9,33.9,33.9,50.9,47.3
Drake,51,MVC,28-7,114.77094774972736,100.09795044021361,0.8282216008864933,1.6235276418210938,67.92763900773544,54.7,50.8,32.300000000000004,31.3,24.1,22.5,13.8,17.5,36.4,33.3,54.8,51.3
Oregon,52,P12,24-12,114.20155865569231,99.67511839342689,0.8270069877188208,1.3434342734151956,67.1756368564193,51.9,51.5,32.0,32.300000000000004,28.6,27.3,14.7,17.8,33.8,34.9,52.6,51.0
